Wavelength (nm),6803_P,7942_P,7120_P,cc124_P,Arabidopsis_P,Phaeodactylum_P,Symbiodinium_P,R. palustris_P,Sphingomonas,E. coli mScarlett,B. subtilis mTurqouise,V. natriegens sfGFP
604,0.12,0.132,0.231,0.154,0.055,0.183,0.124,0.102,0.122,0.206,0.154,0.161
605,0.12,0.132,0.232,0.154,0.055,0.183,0.124,0.101,0.122,0.205,0.153,0.161
606,0.12,0.132,0.233,0.154,0.055,0.183,0.124,0.1,0.121,0.204,0.153,0.16
607,0.121,0.133,0.233,0.154,0.055,0.183,0.124,0.099,0.121,0.204,0.152,0.16
608,0.121,0.133,0.234,0.154,0.055,0.182,0.124,0.098,0.121,0.203,0.152,0.159
609,0.121,0.134,0.234,0.154,0.055,0.182,0.124,0.098,0.12,0.202,0.151,0.159
610,0.121,0.134,0.235,0.154,0.055,0.182,0.124,0.097,0.12,0.202,0.151,0.159
611,0.121,0.135,0.236,0.154,0.055,0.182,0.124,0.096,0.12,0.201,0.151,0.158
612,0.122,0.136,0.236,0.154,0.055,0.182,0.124,0.096,0.119,0.201,0.15,0.158
613,0.122,0.136,0.237,0.154,0.056,0.181,0.124,0.095,0.119,0.2,0.15,0.157
614,0.122,0.137,0.237,0.155,0.056,0.181,0.124,0.094,0.118,0.2,0.149,0.157
615,0.123,0.138,0.238,0.155,0.056,0.181,0.124,0.094,0.118,0.199,0.149,0.156
616,0.123,0.139,0.238,0.155,0.056,0.181,0.124,0.093,0.118,0.198,0.148,0.156
617,0.124,0.14,0.239,0.155,0.056,0.181,0.125,0.093,0.117,0.198,0.148,0.156
618,0.124,0.141,0.239,0.155,0.057,0.181,0.125,0.092,0.117,0.197,0.148,0.155
619,0.125,0.142,0.24,0.155,0.057,0.181,0.125,0.092,0.117,0.197,0.147,0.155
620,0.125,0.143,0.241,0.156,0.057,0.181,0.125,0.091,0.116,0.197,0.147,0.154
621,0.126,0.144,0.241,0.156,0.057,0.181,0.125,0.091,0.116,0.196,0.146,0.154
622,0.126,0.145,0.242,0.156,0.058,0.18,0.125,0.09,0.115,0.196,0.146,0.153
623,0.127,0.146,0.242,0.156,0.058,0.18,0.125,0.09,0.115,0.195,0.146,0.153
624,0.127,0.146,0.242,0.156,0.058,0.18,0.126,0.089,0.115,0.194,0.145,0.153
625,0.128,0.147,0.243,0.156,0.058,0.18,0.126,0.089,0.114,0.194,0.145,0.152
626,0.128,0.148,0.243,0.156,0.059,0.18,0.126,0.089,0.114,0.193,0.144,0.152
627,0.128,0.149,0.244,0.156,0.059,0.18,0.126,0.088,0.114,0.193,0.144,0.151
628,0.129,0.149,0.244,0.156,0.059,0.18,0.126,0.088,0.113,0.192,0.144,0.151
629,0.129,0.15,0.244,0.156,0.059,0.18,0.126,0.087,0.113,0.192,0.143,0.151
630,0.129,0.151,0.245,0.156,0.059,0.18,0.126,0.087,0.113,0.191,0.143,0.15
631,0.13,0.151,0.245,0.156,0.059,0.179,0.126,0.087,0.112,0.191,0.142,0.15
632,0.13,0.151,0.245,0.156,0.059,0.179,0.127,0.086,0.112,0.191,0.142,0.149
633,0.13,0.152,0.246,0.156,0.059,0.179,0.127,0.086,0.111,0.19,0.142,0.149
634,0.13,0.152,0.246,0.156,0.059,0.179,0.127,0.086,0.111,0.19,0.141,0.148
635,0.13,0.152,0.246,0.156,0.059,0.179,0.127,0.085,0.111,0.189,0.141,0.148
636,0.13,0.152,0.246,0.155,0.058,0.179,0.127,0.085,0.11,0.189,0.14,0.148
637,0.13,0.152,0.247,0.155,0.059,0.179,0.127,0.085,0.11,0.188,0.14,0.147
638,0.13,0.151,0.247,0.155,0.059,0.179,0.127,0.084,0.11,0.188,0.14,0.147
639,0.129,0.151,0.247,0.155,0.059,0.178,0.127,0.084,0.109,0.187,0.139,0.146
640,0.129,0.151,0.247,0.155,0.059,0.178,0.127,0.084,0.109,0.187,0.139,0.146
641,0.129,0.15,0.247,0.155,0.059,0.178,0.127,0.083,0.109,0.186,0.138,0.146
642,0.128,0.149,0.247,0.155,0.059,0.178,0.127,0.083,0.108,0.186,0.138,0.145
